Date,News_Count,Avg_Sentiment,Positive_Sentiment,Negative_Sentiment,Neutral_Sentiment,Max_Sentiment,Min_Sentiment,Sentiment_Std
2008-01-02,3,-0.4787922,0.08425445,0.56304663,0.35269892,-0.06987688,-0.95072275,0.44379112
2008-01-30,1,0.08016062,0.09628698,0.016126368,0.88758665,0.08016062,0.08016062,0.0
2008-02-22,2,-0.41591486,0.070289336,0.48620418,0.44350648,-0.021389645,-0.81044006,0.5579429
2008-02-29,1,-0.92659044,0.020833055,0.9474235,0.03174354,-0.92659044,-0.92659044,0.0
2008-03-10,1,-0.9610297,0.0070664417,0.96809614,0.024837507,-0.9610297,-0.9610297,0.0
2008-04-07,1,-0.01167728,0.03363573,0.04531301,0.92105126,-0.01167728,-0.01167728,0.0
2008-04-23,1,-0.5390297,0.105785884,0.6448156,0.24939844,-0.5390297,-0.5390297,0.0
2008-04-24,1,-0.944855,0.012279505,0.9571345,0.030585986,-0.944855,-0.944855,0.0
2008-05-06,1,0.7009332,0.8174103,0.11647704,0.06611266,0.7009332,0.7009332,0.0
2008-05-07,1,-0.9347988,0.021360956,0.9561597,0.02247927,-0.9347988,-0.9347988,0.0
2008-05-08,1,-0.95009816,0.017934917,0.9680331,0.014032033,-0.95009816,-0.95009816,0.0
2008-05-12,3,0.15858515,0.3280997,0.16951454,0.5023858,0.6255341,-0.22611785,0.4317419
2008-05-16,1,-0.84556454,0.061946593,0.9075111,0.030542279,-0.84556454,-0.84556454,0.0
2008-06-20,1,-0.9133126,0.025434861,0.93874747,0.035817634,-0.9133126,-0.9133126,0.0
2008-06-24,2,0.08790861,0.1286175,0.040708885,0.8306736,0.1340786,0.041738614,0.065294236
2008-07-01,1,-0.9118128,0.012050429,0.92386323,0.06408628,-0.9118128,-0.9118128,0.0
2008-07-09,1,-0.9398515,0.011760679,0.9516122,0.0366272,-0.9398515,-0.9398515,0.0
2008-07-29,1,0.8153944,0.8847352,0.069340855,0.04592387,0.8153944,0.8153944,0.0
2008-07-31,1,-0.5977538,0.05384339,0.6515972,0.2945594,-0.5977538,-0.5977538,0.0
2008-08-13,1,-0.9322074,0.016787872,0.9489953,0.03421683,-0.9322074,-0.9322074,0.0
2008-08-19,2,0.031424664,0.05048403,0.019059371,0.93045664,0.038143005,0.024706319,0.009501172
2008-08-26,2,0.41147915,0.46765038,0.056171235,0.47617835,0.81633425,0.0066240355,0.5725516
2008-08-28,1,0.027043533,0.05118396,0.024140429,0.9246756,0.027043533,0.027043533,0.0
2008-09-09,1,0.16210333,0.17423806,0.012134737,0.8136272,0.16210333,0.16210333,0.0
2008-09-16,2,-0.77437115,0.08184535,0.85621655,0.061938114,-0.7087645,-0.83997786,0.092781864
2008-09-19,1,0.023403373,0.049056955,0.025653582,0.9252895,0.023403373,0.023403373,0.0
2008-09-24,1,0.06560056,0.08259118,0.01699062,0.9004183,0.06560056,0.06560056,0.0
2008-10-01,1,-0.14717028,0.03978196,0.18695223,0.77326584,-0.14717028,-0.14717028,0.0
2008-10-13,1,-0.797943,0.027512953,0.82545596,0.1470311,-0.797943,-0.797943,0.0
2008-10-21,1,0.016748548,0.038457118,0.02170857,0.93983436,0.016748548,0.016748548,0.0
2008-11-05,1,0.00083855167,0.037122272,0.03628372,0.9265941,0.00083855167,0.00083855167,0.0
2008-11-07,1,0.008665539,0.047028996,0.038363457,0.9146076,0.008665539,0.008665539,0.0
2008-11-24,1,0.88767993,0.9155457,0.027865795,0.056588445,0.88767993,0.88767993,0.0
2008-12-02,1,-0.0036077946,0.06700076,0.070608556,0.8623907,-0.0036077946,-0.0036077946,0.0
2008-12-18,1,0.011729941,0.041192986,0.029463045,0.92934394,0.011729941,0.011729941,0.0
2009-01-12,1,-0.958588,0.011517559,0.9701056,0.01837676,-0.958588,-0.958588,0.0
2009-01-20,1,-0.014573522,0.034296546,0.048870068,0.91683334,-0.014573522,-0.014573522,0.0
2009-01-23,1,-0.933328,0.012186689,0.9455147,0.042298716,-0.933328,-0.933328,0.0
2009-03-02,1,-0.5273949,0.10186427,0.62925917,0.26887658,-0.5273949,-0.5273949,0.0
2009-03-09,1,0.038545307,0.08060557,0.04206026,0.8773342,0.038545307,0.038545307,0.0
2009-05-11,2,0.0191143,0.23603548,0.21692118,0.5470433,0.42805898,-0.38983038,0.5783351
2009-05-29,1,-0.04162696,0.025951711,0.06757867,0.90646964,-0.04162696,-0.04162696,0.0
2009-06-17,3,-0.061043043,0.2817861,0.3428292,0.37538466,0.7138482,-0.93381387,0.82818043
2009-06-24,1,0.0012606904,0.03748312,0.036222428,0.9262945,0.0012606904,0.0012606904,0.0
2009-07-08,1,-0.0825966,0.024282346,0.106878944,0.86883867,-0.0825966,-0.0825966,0.0
2009-08-07,1,-0.03741394,0.028176136,0.065590076,0.9062337,-0.03741394,-0.03741394,0.0
2009-08-14,1,0.030747022,0.044559456,0.013812435,0.9416281,0.030747022,0.030747022,0.0
2009-09-08,1,0.80559784,0.816908,0.01131018,0.17178181,0.80559784,0.80559784,0.0
2009-09-16,1,-0.021756781,0.021050556,0.042807337,0.9361421,-0.021756781,-0.021756781,0.0
2009-09-25,1,-0.07414844,0.023999607,0.09814805,0.8778524,-0.07414844,-0.07414844,0.0
2009-09-30,1,-0.044649772,0.027031427,0.0716812,0.9012874,-0.044649772,-0.044649772,0.0
2009-10-06,2,0.42490676,0.45448914,0.029582355,0.5159285,0.8666738,-0.016860291,0.62475294
2009-10-09,1,0.29312697,0.30598903,0.012862047,0.68114895,0.29312697,0.29312697,0.0
2009-10-12,1,0.12905125,0.14594845,0.016897198,0.8371543,0.12905125,0.12905125,0.0
2009-10-19,1,0.54464626,0.5989013,0.054255005,0.3468437,0.54464626,0.54464626,0.0
2009-10-27,1,0.062928535,0.07480098,0.011872448,0.9133266,0.062928535,0.062928535,0.0
2009-10-28,1,-0.48399705,0.20942755,0.6934246,0.09714785,-0.48399705,-0.48399705,0.0
2009-10-30,1,-0.043483093,0.027641116,0.07112421,0.9012347,-0.043483093,-0.043483093,0.0
2009-11-05,2,0.16190715,0.18187663,0.019969475,0.79815394,0.1745515,0.1492628,0.017881813
2009-11-23,1,0.015715402,0.073014855,0.057299454,0.86968565,0.015715402,0.015715402,0.0
2009-11-24,1,0.15716313,0.17083637,0.013673249,0.81549037,0.15716313,0.15716313,0.0
2009-12-03,1,-0.019954108,0.039106134,0.059060242,0.9018336,-0.019954108,-0.019954108,0.0
2009-12-07,1,-0.9416135,0.010948836,0.95256233,0.0364889,-0.9416135,-0.9416135,0.0
2009-12-16,3,0.30639842,0.3343836,0.027985184,0.63763124,0.8562838,0.026890991,0.47623658
2009-12-22,1,0.87813365,0.92018914,0.04205547,0.03775541,0.87813365,0.87813365,0.0
2009-12-30,2,-0.11032435,0.3759132,0.48623756,0.13784917,0.69716346,-0.91781217,1.1419603
2010-01-05,3,-0.19409591,0.09172567,0.2858216,0.62245274,0.053629555,-0.67507064,0.4165992
2010-01-28,2,-0.013035142,0.032367405,0.04540255,0.92223,-0.012533801,-0.013536483,0.0007090035
2010-02-12,1,0.011454292,0.052053556,0.040599264,0.9073472,0.011454292,0.011454292,0.0
2010-02-23,1,-0.9560373,0.0088247815,0.96486205,0.0263131,-0.9560373,-0.9560373,0.0
2010-02-26,2,-0.08402341,0.029619945,0.113643356,0.8567367,-0.015703108,-0.1523437,0.096619494
2010-03-05,2,0.30395758,0.4175791,0.11362155,0.4687993,0.576494,0.031421166,0.38542467
2010-03-10,1,-0.5146967,0.03894362,0.55364037,0.407416,-0.5146967,-0.5146967,0.0
2010-03-12,1,-0.5971629,0.03508167,0.6322446,0.33267373,-0.5971629,-0.5971629,0.0
2010-03-22,1,0.0034411103,0.039974038,0.036532927,0.923493,0.0034411103,0.0034411103,0.0
2010-03-24,1,0.029956836,0.06046497,0.030508135,0.90902686,0.029956836,0.029956836,0.0
2010-04-15,1,0.013407957,0.043479122,0.030071165,0.9264498,0.013407957,0.013407957,0.0
2010-04-19,2,-0.10645291,0.032342218,0.13879514,0.82886267,-0.08623157,-0.12667426,0.028597306
2010-04-23,1,0.16612804,0.18262781,0.016499769,0.8008724,0.16612804,0.16612804,0.0
2010-05-05,1,-0.87845767,0.039039604,0.9174973,0.043463096,-0.87845767,-0.87845767,0.0
2010-05-17,1,-0.5533412,0.025766619,0.5791078,0.39512557,-0.5533412,-0.5533412,0.0
2010-05-18,1,0.10704996,0.120928355,0.0138783995,0.8651933,0.10704996,0.10704996,0.0
2010-05-20,1,-0.04333912,0.025297606,0.06863672,0.9060657,-0.04333912,-0.04333912,0.0
2010-06-11,2,0.29814574,0.41071826,0.112572536,0.4767092,0.4320554,0.16423605,0.18937689
2010-06-14,1,-0.01177654,0.045940753,0.057717294,0.896342,-0.01177654,-0.01177654,0.0
2010-06-23,1,-0.02351711,0.09779334,0.12131045,0.7808962,-0.02351711,-0.02351711,0.0
2010-06-30,3,-0.30943164,0.049709614,0.35914123,0.59114915,0.05611902,-0.95841074,0.5635303
2010-07-07,1,-0.011678381,0.024120169,0.03579855,0.94008136,-0.011678381,-0.011678381,0.0
2010-07-13,4,0.2982416,0.362388,0.06414643,0.5734655,0.7732202,0.011014581,0.36460164
2010-07-14,2,-0.07099849,0.05055306,0.12155154,0.8278954,0.031435423,-0.1734324,0.14486343
2010-07-20,1,-0.3078101,0.029092003,0.3369021,0.6340059,-0.3078101,-0.3078101,0.0
2010-08-02,2,0.2546014,0.26637426,0.011772856,0.7218529,0.31128627,0.19791651,0.08016453
2010-08-09,1,0.03343686,0.05635407,0.022917207,0.9207287,0.03343686,0.03343686,0.0
2010-08-24,1,-0.042378176,0.028366175,0.07074435,0.90088946,-0.042378176,-0.042378176,0.0
2010-08-30,2,0.41619083,0.5022756,0.08608478,0.4116397,0.9256124,-0.09323074,0.7204309
2010-09-07,2,-0.70180064,0.024593703,0.72639436,0.24901198,-0.5257145,-0.8778868,0.2490234
2010-09-14,1,-0.041883893,0.027643995,0.06952789,0.90282804,-0.041883893,-0.041883893,0.0
2010-09-15,3,0.24810912,0.28783575,0.039726634,0.67243767,0.7844814,-0.04285184,0.46507
2010-09-21,1,-0.042931706,0.027709974,0.07064168,0.90164834,-0.042931706,-0.042931706,0.0
2010-09-22,2,-0.30684054,0.123508155,0.4303487,0.44614312,0.058385603,-0.6720667,0.51650774
2010-09-30,7,0.084417455,0.18000123,0.0955838,0.72441494,0.32347783,-0.13320462,0.1716298
2010-10-01,1,-0.87610525,0.012027934,0.88813317,0.09983897,-0.87610525,-0.87610525,0.0
2010-10-08,1,-0.04044225,0.02887647,0.06931872,0.9018048,-0.04044225,-0.04044225,0.0
2010-10-19,4,-0.06166163,0.11186107,0.17352271,0.71461624,0.17914735,-0.36751506,0.22671083
2010-10-20,1,-0.86365587,0.0195592,0.88321507,0.0972257,-0.86365587,-0.86365587,0.0
2010-10-26,1,0.17935121,0.1912998,0.011948585,0.7967517,0.17935121,0.17935121,0.0
2010-10-29,1,0.008602537,0.050123442,0.041520905,0.90835565,0.008602537,0.008602537,0.0
2010-11-22,2,0.06299707,0.09459405,0.031596974,0.873809,0.11816378,0.0078303665,0.0780175
2010-11-29,2,-0.27742037,0.10337983,0.3808002,0.51582,0.048925824,-0.60376656,0.4615232
2010-11-30,1,-0.012489619,0.02400343,0.036493048,0.9395035,-0.012489619,-0.012489619,0.0
2010-12-02,1,0.55418706,0.5728002,0.018613132,0.40858662,0.55418706,0.55418706,0.0
