Date,Ticker,Company_Name,Sector,Open,High,Low,Close,Volume,Dividend,Stock_Split,Daily_Return,Volatility_20D,MA_50,MA_200,Market_Cap,PE_Ratio,Forward_PE,PEG_Ratio,Price_to_Book,Dividend_Yield,EPS,Beta,52Week_High,52Week_Low
2002-08-15 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,-0.0107489340007305,-0.0107489340007305,-0.0107489340007305,-0.0107489340007305,0,0.0,,0.0,0.013458451191077,,,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2002-09-25 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,0.0458178172753998,0.0476866299866617,0.0458178172753998,0.0468166768550872,528109,0.0,,-0.0115641570435021,1.2685116823209546,0.0081992241740226,,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2002-11-29 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,0.0483310148591908,0.0508764657666087,0.0483310148591908,0.049877606332302,477885,0.0,,-0.0006460871199517,0.0153596388917124,0.0466955084353685,,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2003-02-03 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,0.0422413456351835,0.0434657213518124,0.0422090989749812,0.0430790521204471,468725,0.0,,0.0075351159982159,0.0125255345850314,0.046818594187498,,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2003-08-19 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,0.0622181710238922,0.0636359067434822,0.0617348869980823,0.0620570629835128,485519,0.0,,-0.0233265623752284,0.0170420321709503,0.060500151887536,0.0489327553287148,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2003-10-31 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,0.5454631319183524,0.5482461852665352,0.5362794454708443,0.5396188497543335,361520,0.0,,-0.0122263596600287,0.0301678175575411,0.4872039623558521,0.1590158869698643,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2003-12-16 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,0.7514035430323142,0.8237607743880955,0.7402716746049817,0.8109591603279114,906748,0.0,,0.0577135503748547,0.034955464783155,0.5964083552360535,0.2498843177221715,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2004-04-28 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,1.1827644914522502,1.2381459100851433,1.1549349974279566,1.1835997104644775,714049,0.0,,0.0092549005576196,0.0160095446076806,1.1058767008781434,0.7453731061704457,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2004-07-13 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,2.998287727607281,3.026649703680213,2.9577697443043864,2.990762948989868,566824,0.0,,0.0131373324527728,0.2443507941070174,1.695543005466461,1.1161829876899718,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
2004-08-06 00:00:00+05:30,ADANIENT.NS,Adani Enterprises Ltd.,Infrastructure,3.990962999750438,3.993857449836435,3.849152232285872,3.892563581466675,5004493,0.0,,-0.0110291730309984,0.0347496281585781,2.592586190700531,1.4023830968141555,2611735429120,31.154974,45.89732,,4.53401,0.06,64.85,0.491,2695.0,1848.0
