Feature
Return_1D
Return_5D
Return_10D
Return_20D
SMA_5
SMA_10
SMA_20
SMA_50_new
EMA_12
EMA_26
RSI_14
MACD
MACD_Signal
MACD_Diff
BB_Middle
BB_High
BB_Low
BB_Width
ATR_14
Volume_SMA_20
Volume_Ratio
Volatility_5D
Volatility_10D
Volatility_20D_new
Price_vs_SMA20
Price_vs_SMA50
EMA12_vs_EMA26
High_Low_Range
Open_Close_Range
Upper_Shadow
Lower_Shadow
ROC_10
ROC_20
Close_Lag_1
Close_Lag_2
Close_Lag_3
Return_Lag_1
Return_Lag_2
Return_Lag_3
Momentum_5D
Momentum_10D
Momentum_20D
Momentum_5D_pct
Momentum_10D_pct
Momentum_20D_pct
Distance_52W_High
Distance_52W_Low
52W_Range_Position
Body_Size
Candle_Direction
Range_Position
Volume_Change_1D
Volume_Change_5D
Volume_SMA_5
Volume_SMA_10
Volume_Ratio_5D
Volume_Ratio_10D
Rolling_High_5D
Rolling_Low_5D
Rolling_High_20D
Rolling_Low_20D
Distance_Rolling_High_5D
Distance_Rolling_Low_5D
Distance_Rolling_High_20D
Distance_Rolling_Low_20D
RSI_Overbought
RSI_Oversold
RSI_Mid_Bullish
SMA20_SMA50_Ratio
Price_Above_SMA20
Price_Above_SMA50
EMA12_Above_EMA26
MACD_Bullish
MACD_Above_Zero
BB_Position
Volatility_Ratio
High_Volatility
Close_Lag_20
Trend_Strength_20D
Return_Lag_5
Return_Lag_10
Return_Lag_20
Market_Return
Market_Volatility
Market_Momentum_5D
Market_Momentum_20D
Market_Breadth
Market_SMA_5
Market_SMA_20
Market_Return_Lag_1
Market_Return_Lag_5
